,County,Max Cost,Percent Land Developed Open Space,Std Cost
0,Camden,148,0.13805970149253732,4.518160614643896
1,Gates,148,0.429920116194626,7.965133137022624
2,Iredell,148,4.374384236453202,25.065387081530247
3,Wilkes,148,1.1190926275992439,12.820816689101406
4,Union,148,5.103448275862069,27.004909933624788
5,Cabarrus,148,6.278787878787878,29.83014295697881
6,Wake,148,9.312748538011697,35.9382734461951
7,Franklin,148,1.5794466403162055,15.20734858800811
8,Pender,148,1.0678210678210678,12.525864289726101
9,New Hanover,148,8.757978723404255,34.921034631640396
10,Durham,148,9.913875598086124,36.99957647247356
11,Orange,148,3.201923076923077,21.53212260772456
12,Chatham,148,1.2121212121212122,13.338841837321002
13,Alamance,148,6.655487804878049,30.67110492305536
14,Harnett,148,2.4492957746478874,18.88112085804705
15,Moore,148,2.0857843137254903,17.44550320936571
16,Beaufort,148,1.2075471698113207,13.3138578543094
17,Martin,148,0.9001788908765653,11.507221811286682
18,Pitt,148,2.304029304029304,18.32178446447046
19,Greene,148,1.4131944444444444,14.392903085895114
20,Wilson,148,3.8748403575989783,23.6318002938365
21,Wayne,148,3.650501672240803,22.955349812899954
22,Anson,148,1.0068027210884354,12.165243565251675
23,Lenoir,148,2.0651162790697675,17.360083641971503
24,Robeson,148,2.0111383381599466,17.134870779566892
25,Hoke,148,2.4710793082886107,18.963478179882042
26,Johnston,148,2.67638326585695,19.721604801868164
27,Brunswick,148,3.0035514967021815,20.868739777920972
28,Columbus,148,0.8482213438735178,11.172165387474266
29,Bladen,148,0.64,9.711354179515851
30,Onslow,148,3.4084848484848487,22.199954698453933
31,Sampson,148,1.4162679425837321,14.408394796687169
32,Carteret,148,0.6278051450465244,9.618784859156522
33,Duplin,148,1.4278293135435993,14.466514502665744
34,Scotland,148,1.8095238095238095,16.264536494849473
35,Richmond,148,2.1082621082621085,17.537902465963775
36,Jones,148,0.13495440729483282,4.467106399850686
37,Craven,148,1.4380101049358724,14.517493670348593
38,Cumberland,148,6.940836940836941,31.290072703727944
39,Pamlico,148,0.2553485162180814,6.142180193997998
40,Mecklenburg,148,16.295625942684765,46.3271541825466
41,Jackson,148,0.3642329778506973,7.33306314303574
42,Transylvania,148,0.5893479342956695,9.320738344578743
43,Hyde,148,0.25583405358686256,6.148006902068425
44,Montgomery,148,0.7851458885941645,10.75105285288655
45,Stanly,148,1.2173913043478262,13.367567896052615
46,Gaston,148,8.515873015873016,34.4648968245479
47,Cleveland,148,4.436175710594315,25.23636959296427
48,Macon,148,0.5946428571428571,9.362347073762638
49,Cherokee,148,0.794921875,10.81741820919606
50,Clay,148,0.14697120158887786,4.661559535290463
51,Henderson,148,2.7755102040816326,20.07665443521705
52,Rutherford,148,1.6257575757575757,15.42624495841383
53,Polk,148,0.3217391304347826,6.893030917984835
54,Dare,148,0.9388418998048146,11.750199022071214
55,Lee,148,2.018181818181818,17.164435651651047
56,Graham,148,0.6187290969899666,9.549297390858296
57,Haywood,148,1.5625942684766214,15.12687181431323
58,Swain,148,0.21246052253804193,5.603482654741876
59,Lincoln,148,7.706846673095468,32.881876801294766
60,Buncombe,148,2.8962818003913893,20.500274588176797
61,Rowan,148,3.466666666666667,22.384121356195532
62,Davidson,148,4.0955974842767295,24.27703665853273
63,Randolph,148,4.805616498464238,26.23237106786948
64,McDowell,148,0.7373188405797102,10.42015111853582
65,Catawba,148,7.984427141268076,33.43567167163622
66,Burke,148,1.7227513227513227,15.874486563261007
67,Tyrrell,0,0.0,0.0
68,Edgecombe,148,1.787588504789671,16.166868158255486
69,Washington,148,0.6964705882352941,10.12879932561341
70,Nash,148,1.9076262083780882,16.69400015242201
71,Madison,148,0.5842105263157895,9.280186202640477
72,Yancey,148,0.3894736842105263,7.5822434353208
73,Davie,148,3.2034632034632033,21.537185926128124
74,Caldwell,148,2.96,20.72
75,Alexander,148,4.077551020408163,24.22501039620781
76,Bertie,148,0.9676214196762142,11.927769234029617
77,Mitchell,148,0.48366013071895425,8.44676104932288
78,Guilford,148,15.76923076923077,45.663743985714746
79,Avery,148,0.6491228070175439,9.78002121776871
80,Forsyth,148,11.37687074829932,39.42516560174213
81,Chowan,148,0.9758241758241758,11.977885673183525
82,Halifax,148,0.9122287968441815,11.583509854752448
83,Granville,148,1.0859538784067087,12.630988804450993
84,Perquimans,148,0.17777777777777778,5.126354081883099
85,Yadkin,148,2.187826086956522,17.86089801445598
86,Currituck,148,0.3915343915343915,7.602222751757262
87,Pasquotank,148,0.7216312056737588,10.309251517094447
88,Watauga,148,1.6287600880410857,15.440324919045104
89,Vance,148,2.732307692307692,19.922751645696298
90,Northampton,148,0.5357466063348416,8.888389804197228
91,Warren,148,1.2493506493506494,13.54042167212171
92,Person,148,1.25,13.543910070581537
93,Caswell,148,1.0479937057435091,12.409866141210438
94,Rockingham,148,3.963481436396835,23.893222208192622
95,Surry,148,2.821350762527233,20.23857437491133
96,Hertford,148,0.6108490566037735,9.488546980829298
97,Stokes,148,1.0850439882697946,12.625735218491206
98,Ashe,148,0.16582633053221288,4.951242121616528
99,Alleghany,148,0.43873517786561267,8.04613682258846
