Year,Mean Wind Speed
1980,7.003888130187988
1981,6.820397853851318
1982,6.538762092590332
1983,6.994623184204102
1984,6.609165668487549
1985,7.144990921020508
1986,6.726276874542236
1987,7.038512229919434
1988,6.401182651519775
1989,7.11035680770874
1990,6.341929912567139
1991,6.5417022705078125
1992,6.484096527099609
1993,6.876847743988037
1994,6.746495246887207
1995,6.610121726989746
1996,7.068962574005127
1997,6.4079413414001465
1998,6.342214584350586
1999,6.692424297332764
2000,7.0505805015563965
2001,6.164574146270752
2002,6.883117198944092
2003,6.634003639221191
2004,7.107449531555176
2005,6.980667591094971
2006,6.274198532104492
2007,6.473537445068359
2008,6.8832221031188965
2009,7.0930962562561035
2010,7.477209568023682
2011,6.783290863037109
2012,6.7759294509887695
2013,6.731310844421387
2014,7.007185935974121
2015,7.334692478179932
